age,educ,race,sex,occ10,region,marital,pred_polview
67,16,1,1,1740,4,5,2
56,14,3,2,50,4,3,2
33,14,1,2,7750,2,5,2
24,16,1,2,2550,1,5,1
46,14,1,2,5610,4,1,2
25,12,1,1,6440,3,5,2
32,17,3,2,3930,4,5,1
69,12,2,2,4600,3,2,2
49,16,1,2,3645,4,1,2
73,16,1,2,5820,2,3,3
23,16,1,2,800,1,5,1
43,17,1,2,10,3,3,2
43,10,1,1,6440,2,1,3
30,13,2,2,4720,3,5,1
83,12,1,1,9130,2,2,3
35,17,3,1,4150,4,1,1
36,14,3,1,5550,4,5,1
37,16,1,2,735,2,1,2
56,16,1,2,800,2,1,3
71,16,1,2,2320,3,1,3
46,16,1,2,430,2,1,3
76,17,1,1,710,3,2,3
74,16,1,1,3850,4,1,3
40,14,2,1,6355,4,5,1
70,12,1,2,3600,1,1,3
69,12,2,1,9350,2,5,2
89,0,3,2,4230,4,5,2
61,12,1,2,4230,2,3,3
44,16,1,1,4760,3,1,3
56,14,1,2,430,3,1,3
85,13,1,1,4720,3,3,3
37,13,3,2,4600,3,1,2
70,16,1,1,4040,3,1,3
58,16,1,1,1020,4,1,2
67,17,1,1,8750,4,1,3
63,12,1,1,220,2,3,3
47,14,1,1,5510,4,5,2
63,13,2,1,3320,4,3,2
69,12,1,2,5810,2,1,3
55,15,1,2,4110,2,1,3
37,18,2,1,1050,3,1,1
64,14,1,1,20,4,1,3
59,16,3,2,4740,4,2,2
29,6,1,1,4840,1,5,1
63,12,1,2,5700,3,3,3
32,18,1,1,1320,3,1,2
70,14,1,2,2145,3,2,3
25,14,1,1,9830,3,1,3
23,17,1,2,50,1,5,1
24,12,2,1,4220,3,5,1
27,16,2,1,4610,1,1,1
39,16,1,1,3850,2,1,3
27,12,1,2,5620,2,5,2
83,20,1,2,2200,3,3,3
83,16,1,2,10,1,2,3
37,18,1,1,800,4,5,1
48,9,1,2,4020,3,3,3
58,16,1,1,710,2,1,3
58,12,1,1,1106,4,1,3
42,12,2,1,8140,3,1,3
60,15,1,2,430,4,1,2
75,16,1,1,3850,3,1,3
58,14,1,2,5600,3,2,3
63,16,1,1,9620,3,5,3
60,17,1,1,840,3,1,3
83,19,1,1,1460,1,1,3
82,20,1,1,1320,3,1,3
64,12,2,2,3600,3,3,3
35,14,1,1,7200,1,3,1
64,16,1,1,430,1,1,3
26,18,1,2,2310,3,5,1
38,14,1,2,5860,3,3,3
38,10,3,2,4230,2,5,2
24,16,2,2,5240,3,5,1
23,12,2,1,310,3,5,1
21,12,1,2,4760,3,5,2
37,17,1,1,6440,4,1,2
64,12,1,1,2900,2,1,3
30,11,1,2,5700,4,5,1
31,12,1,1,6230,2,5,2
63,13,1,1,6260,4,3,3
51,16,1,2,4810,1,1,2
79,14,1,2,5120,3,2,3
45,14,2,1,3300,4,1,2
78,16,1,1,8740,4,1,3
34,17,1,1,1410,3,5,2
56,14,1,1,8255,2,1,3
75,14,1,1,7330,3,1,3
26,14,1,1,4920,4,5,1
37,16,1,1,5110,3,1,2
29,18,1,2,5860,2,5,1
23,13,1,2,4700,3,5,1
77,18,1,2,8255,4,3,3
34,12,3,1,4610,4,5,1
37,18,1,2,2310,2,1,2
48,14,1,2,120,2,3,2
49,12,1,1,4220,2,1,3
40,12,3,2,5620,3,1,3
23,14,1,1,4760,2,5,1
59,16,1,1,1965,1,5,2
