"polviews","age.x","educ.x","race.x","sex.x","occ10.x","region.x","marital.x","pol_7","row_id","true_val","age.y","educ.y","race.y","sex.y","occ10.y","region.y","marital.y","pred_var","id","narrative","pred_narr","error_var","error_narr","var_wrong","narr_wrong","case_type","bias_var","bias_narr"
4,67,16,"1","1","1740","4","5",4,1,4,67,16,1,1,1740,4,5,5,1,"He is 67, a man in the West who values familiar routines and the people he sees most often. On a typical workday, he heads to his sales or office job, spending the bulk of the day interacting with coworkers and customers, answering calls, and keeping things organized behind the scenes. With a college degree, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. On weekends, he often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",5,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
5,56,14,"3","2","50","4","3",5,2,5,56,14,3,2,50,4,3,4,2,"She is 56 years old, she has settled into a steady rhythm in the West, where routines give structure to most days. On a typical workday, she heads to her management or professional job, spending the bulk of the day in an office setting, juggling emails, meetings, and longer-term projects that require planning and careful follow-through. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",4,-1,-1,TRUE,TRUE,"Both Wrong","Too Liberal","Too Liberal"
6,33,14,"1","2","7750","2","5",6,3,6,33,14,1,2,7750,2,5,4,3,"At 33, this woman in the Midwest balances work, personal commitments, and quiet plans for the next few years. On a typical workday, she heads to her military job, spending the bulk of the day balancing training, schedules, and duties that demand discipline, teamwork, and attention to detail. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, she stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",5,-2,-1,TRUE,TRUE,"Both Wrong","Too Liberal","Too Liberal"
3,24,16,"1","2","2550","1","5",3,4,3,24,16,1,2,2550,1,5,2,4,"She is 24, a woman living in the Northeast, still shaping her path in work and life. On a typical workday, she heads to her construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, she stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",3,-1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Liberal","Correct"
3,46,14,"1","2","5610","4","1",3,5,3,46,14,1,2,5610,4,1,5,5,"She is 46 years old, she has settled into a steady rhythm in the West, where routines give structure to most days. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With some college or technical training, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",5,2,2,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
4,25,12,"1","1","6440","3","5",4,6,4,25,12,1,1,6440,3,5,5,6,"He is 25, a man living in the South, still shaping his path in work and life. On a typical workday, he heads to his military job, spending the bulk of the day balancing training, schedules, and duties that demand discipline, teamwork, and attention to detail. With a high school education, he tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, he stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Weeknights might include meeting a friend after work, watching shows, or scrolling through messages, while weekends are reserved for casual gatherings, errands, and catching up on rest. Across these routines, he places value on reliability, treating others fairly, and doing his share, whether at work, at home, or in the broader community.",5,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
2,32,17,"3","2","3930","4","5",2,7,2,32,17,3,2,3930,4,5,3,7,"At 32, this woman in the West balances work, personal commitments, and quiet plans for the next few years. On a typical workday, she heads to her construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a graduate degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Outside of work, she stays connected through a small circle of friends and relatives, trading messages and visits that break up the week. Free time is divided between staying in touch with family, keeping up with a few close friends, and handling everyday chores like shopping and cooking. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",4,1,2,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
6,69,12,"2","2","4600","3","2",6,8,6,69,12,2,2,4600,3,2,5,8,"She is 69, a woman in the South who values familiar routines and the people she sees most often. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a high school education, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",5,-1,-1,TRUE,TRUE,"Both Wrong","Too Liberal","Too Liberal"
2,49,16,"1","2","3645","4","1",2,9,2,49,16,1,2,3645,4,1,5,9,"She is 49 years old, she has settled into a steady rhythm in the West, where routines give structure to most days. On a typical workday, she heads to her construction or maintenance job, spending the bulk of the day doing hands-on work, often outdoors or in busy facilities, where practical skills matter more than formal titles. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. After work, she usually returns home to a spouse, sharing dinner, stories from the day, and the quiet tasks that keep the household running. In spare hours, she prefers familiar routines: a favorite TV program, light reading, or small projects around the home that keep things in order. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",4,3,2,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
2,73,16,"1","2","5820","2","3",2,10,2,73,16,1,2,5820,2,3,5,10,"She is 73, a woman in the Midwest who values familiar routines and the people she sees most often. On a typical workday, she heads to her production or transportation job, spending the bulk of the day working with machines, tools, or vehicles, following routines that keep goods and people moving reliably. With a college degree, she tends to see learning as something that extends beyond school, through everyday problem-solving and small improvements. Evenings are quieter, shaped by a mix of personal time and check-ins with relatives or close friends, who offer steady companionship. On weekends, she often keeps things simple, seeing relatives when possible, attending occasional community or religious gatherings, and taking time to rest. Across these routines, she places value on reliability, treating others fairly, and doing her share, whether at work, at home, or in the broader community.",5,3,3,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
